problema;modelo;ub_cmax;fl_ub_cmax;num_maquina;num_jobs;number_of_constraints;number_of_variables;best_bound;funcao_objetivo;number_of_var_values;has_hit_limit;mip_relative_gap;nb_iterations;nb_nodes_processed;nb_linear_nonzeros;status;time;fl_inteiro
ID022_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;1096,908256880734;1418,9999998413032;1640;True;0,22698501972978744;204051476;1969839;17700;time limit exceeded;7202,419864177704;True
ID022_M015_J020;manne;0;s/ ub;15;20;6000;3151;;928,0;1839;False;;1838;0;17700;optimal;0,04663801193237305;False
ID022_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;;928,0;1839;False;;1838;0;17700;optimal;0,7083818912506104;False
ID023_M020_J020;manne;0;s/ ub;20;20;8000;4201;1377,962929913574;1617,0000000000014;2078;True;0,14782750159951288;114290859;473206;23600;time limit exceeded;7200,017660140991;True
ID023_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;1373,0542866633352;1618,0000000000011;2150;True;0,15138795632673088;98883289;416987;23600;time limit exceeded;7200,921753168106;True
ID023_M020_J020;manne;0;s/ ub;20;20;8000;4201;;1217,0;2182;False;;2181;0;23600;optimal;0,0637519359588623;False
ID023_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;;1217,0;2182;False;;2181;0;23600;optimal;0,9572229385375977;False
ID024_M020_J020;manne;0;s/ ub;20;20;8000;4201;1389,7127659574467;1598,9999999999998;2201;True;0,1308863252298562;98776405;300711;23600;time limit exceeded;7200,0208950042725;True
ID024_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;1366,9999999999998;1630,0;2242;True;0,16134969325152398;97253957;351527;23600;time limit exceeded;7200,898936033249;True
ID024_M020_J020;manne;0;s/ ub;20;20;8000;4201;;1223,0;2520;False;;2519;0;23600;optimal;0,06907200813293457;False
ID024_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;;1223,0;2520;False;;2519;0;23600;optimal;0,9723770618438721;False
ID025_M020_J020;manne;0;s/ ub;20;20;8000;4201;1352,1749487704917;1623,0;2265;True;0,16686694468853455;96651455;465280;23600;time limit exceeded;7200,014783143997;True
ID025_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;1347,3571428571431;1630,0000000000002;2218;True;0,17340052585450288;93427814;451451;23600;time limit exceeded;7201,101078987122;True
ID025_M020_J020;manne;0;s/ ub;20;20;8000;4201;;1164,0;2459;False;;2458;0;23600;optimal;0,06955313682556152;False
ID025_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;;1164,0;2459;False;;2458;0;23600;optimal;0,9533970355987549;False
ID026_M020_J020;manne;0;s/ ub;20;20;8000;4201;1336,2044123991147;1691,9999999999998;2132;True;0,21028108014235464;106124761;565438;23600;time limit exceeded;7200,013872146606;True
ID026_M020_J020;minla_fav;0;s/ ub;20;20;8000;4201;1335,8227975571733;1647,0;2253;True;0,18893576347468596;117313530;599306;23600;time limit exceeded;7201,130525112152;True
ID026_M020_J020;manne;0;s/ ub;20;20;8000;4201;;1151,0;2431;False;;2430;0;23600;optimal;0,08333706855773926;False
